customerID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax,start-date,Unit Price,Discount,Product
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,NULL,12209,Germany,030-0074321,030-0076545,10/31/2014,437.2,0,basic
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,NULL,5021,Mexico,(5) 555-4729,(5) 555-3745,12/8/2011,154.06,0,basic
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,NULL,5023,Mexico,(5) 555-3932,NULL,12/9/2016,255.28,0,basic
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,NULL,16478,UK,(171) 555-7788,(171) 555-6750,5/12/2010,205.7,0,basic
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,NULL,18957,Sweden,0921-12 34 65,0921-12 34 67,8/31/2011,9.33,0,basic
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,NULL,4521,Germany,0621-08460,0621-08924,Dec-10-2022,205.7,0,basic
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,24, place Kléber,Strasbourg,4483,67000,France,88.60.15.31,4/17/2015,205.7,0,basic
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,C/ Araquil,67,Madrid,20260,28023,Spain,(91) 555 22 82,6/28/2012,109.28,0,basic
BONAP,Bon app',Laurence Lebihan,Owner,12, rue des Bouchers,Marseille,16873,13008,France,91.24.45.40,3/7/2015,154.06,5,basic
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,1186,Canada,(604) 555-4729,(604) 555-3745,1/19/2014,154.06,0,basic
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,NULL,1349,UK,(171) 555-1212,NULL,1/19/2016,109.28,0,basic
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,NULL,2781,Argentina,(1) 135-5555,(1) 135-4892,3/18/2010,152.58,0,basic
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,NULL,5304,Mexico,(5) 555-3392,(5) 555-7293,12/22/2016,668.27,0,platinum
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,NULL,5525,Switzerland,0452-076545,NULL,1/5/2016,437.2,5,platinum
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,Av. dos Lusíadas,23,Sao Paulo,3133,05432-043,Brazil,(11) 555-7647,2/6/2011,9.33,0,platinum
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,NULL,1655,UK,(171) 555-2282,(171) 555-9199,7/22/2010,109.28,0,platinum
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,NULL,3681,Germany,0241-039123,0241-059428,Aug-13-1980,651.21,0,basic
DUMON,Du monde entier,Janine Labrune,Owner,67, rue des Cinquante Otages,Nantes,1127,44000,France,40.67.88.88,8/7/2012,47.45,0,basic
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,NULL,15507,UK,(171) 555-0297,(171) 555-3373,10/3/2014,109.28,10,basic
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,NULL,1471,Austria,7675-3425,7675-3426,9/8/2012,668.27,0,basic
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Rua Orós,92,Sao Paulo,15951,05442-030,Brazil,(11) 555-9857,10/15/2012,152.58,0,basic
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,C/ Moralzarzal,86,Madrid,5398,28034,Spain,(91) 555 94 44,9/16/2010,109.28,0,basic
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,184, chaussée de Tournai,Lille,37867,59000,France,20.16.10.16,3/9/2011,81.73,0,basic
FOLKO,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,NULL,3576,Sweden,0695-34 67 21,NULL,1/24/2016,109.28,5,basic
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,NULL,51671,Germany,089-0877310,089-0877451,11/13/2012,205.7,0,basic
FRANR,France restauration,Carine Schmitt,Marketing Manager,54, rue Royale,Nantes,27430,44000,France,40.32.21.21,3/20/2017,47.45,0,basic
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,NULL,6774,Italy,011-4988260,011-4988261,11/4/2014,47.45,0,basic
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,NULL,155570,Portugal,(1) 354-2534,(1) 354-2535,2/22/2012,9.33,0,basic
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,Rambla de Cataluña,23,Barcelona,18358,8022,Spain,(93) 203 4560,3/9/2016,421.89,0,basic
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,C/ Romero,33,Sevilla,146916,41101,Spain,(95) 555 82 82,1/7/2016,81.73,0,basic
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,Av. Brasil,442,Campinas,35583,04876-786,Brazil,(11) 555-9482,6/23/2017,47.45,0,basic
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,NULL,7/9/2015,651.21,0,basic
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397,3/16/2014,9.33,0,basic
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rua do Paço,67,Rio de Janeiro,1837,05454-876,Brazil,(21) 555-0091,4/8/2014,255.28,0,basic
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948,10/24/2010,47.45,0,basic
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376,5/14/2010,651.21,0,basic
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,21870,Ireland,2967 542,2967 3333,10/22/2013,651.21,5,basic
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,6101,UK,(198) 555-8888,NULL,4/14/2011,154.06,0,basic
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,NULL,14776,Germany,0555-09876,NULL,8/12/2016,255.28,0,basic
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,67, avenue de l'Europe,Versailles,1753,78000,France,30.59.84.10,2/18/2011,651.21,0,basic
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France,61.77.61.10,61.77.61.11,6/12/2014,651.21,0,platinum
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver,BC,144655,Canada,(604) 555-3392,(604) 555-7293,9/2/2013,47.45,5,platinum
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221,11/20/2011,421.89,0,platinum
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany,069-0245984,069-0245874,12/30/2016,152.58,0,platinum
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St. Suite 5,San Francisco,CA,94117,USA,(415) 555-5938,NULL,4/17/2015,651.21,0,platinum
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256,4/21/2013,47.45,0,platinum
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,9/1/2010,421.89,10,platinum
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9573,(503) 555-9646,2/15/2012,668.27,0,platinum
